product_id,name,category,description,price,rating,combined
1,Xiaomi 222X,Mobile Phones,smartphone with high-resolution display and advanced camera. Enough yeah none control.,247.28,4.8,Xiaomi 222X Mobile Phones smartphone with high-resolution display and advanced camera. Enough yeah none control.
2,Dell XPS 759Max,Laptops,ultra-thin laptop with SSD storage and long battery life. Create participant war program quality.,441.98,3.7,Dell XPS 759Max Laptops ultra-thin laptop with SSD storage and long battery life. Create participant war program quality.
3,AirPods 513Pro,Headphones,wireless headphones with active noise cancellation and clear bass. Business study push offer stock me me Republican bring.,484.09,4.3,AirPods 513Pro Headphones wireless headphones with active noise cancellation and clear bass. Business study push offer stock me me Republican bring.
4,iPhone 309Lite,Mobile Phones,flagship phone with fast processor and ample storage. Hit notice ball seat success.,254.59,4.9,iPhone 309Lite Mobile Phones flagship phone with fast processor and ample storage. Hit notice ball seat success.
5,Asus ZenBook 597Lite,Laptops,high-performance laptop for professionals with Intel i7 CPU. Agent put these picture dark writer bit hotel add.,1244.37,3.4,Asus ZenBook 597Lite Laptops high-performance laptop for professionals with Intel i7 CPU. Agent put these picture dark writer bit hotel add.
6,Dell XPS 824X,Laptops,ultra-thin laptop with SSD storage and long battery life. Mother war subject everything serve.,312.89,4.1,Dell XPS 824X Laptops ultra-thin laptop with SSD storage and long battery life. Mother war subject everything serve.
7,Asus ZenBook 227Max,Laptops,touchscreen laptop with backlit keyboard and lightweight design. Life care cold occur themselves I as.,1063.87,3.5,Asus ZenBook 227Max Laptops touchscreen laptop with backlit keyboard and lightweight design. Life care cold occur themselves I as.
8,Motorola 969Max,Mobile Phones,dual SIM 5G phone with AMOLED screen and powerful chipset. Fill need task game people will floor.,1167.56,3.3,Motorola 969Max Mobile Phones dual SIM 5G phone with AMOLED screen and powerful chipset. Fill need task game people will floor.
9,iPad 465Max,Tablets,tablet with stylus support and high-resolution screen. Property knowledge order far anyone money prepare.,961.8,3.9,iPad 465Max Tablets tablet with stylus support and high-resolution screen. Property knowledge order far anyone money prepare.
10,Realme 404Plus,Mobile Phones,flagship phone with fast processor and ample storage. Student group will believe year example may.,775.52,3.8,Realme 404Plus Mobile Phones flagship phone with fast processor and ample storage. Student group will believe year example may.
11,HP Spectre 48X,Laptops,touchscreen laptop with backlit keyboard and lightweight design. Road never out trade tough edge young stop determine.,353.05,3.7,HP Spectre 48X Laptops touchscreen laptop with backlit keyboard and lightweight design. Road never out trade tough edge young stop determine.
12,AirPods 277Plus,Headphones,comfortable over-ear headphones with Bluetooth connectivity. Dark often management pull address test particular.,1623.85,3.6,AirPods 277Plus Headphones comfortable over-ear headphones with Bluetooth connectivity. Dark often management pull address test particular.
13,Xiaomi 947Pro,Mobile Phones,smartphone with high-resolution display and advanced camera. Present expert nature play everything oil environmental sort medical choice.,1357.0,3.5,Xiaomi 947Pro Mobile Phones smartphone with high-resolution display and advanced camera. Present expert nature play everything oil environmental sort medical choice.
14,Fire HD 529Max,Tablets,tablet with productivity features and keyboard support. Story discover money speech senior decide discover room opportunity.,117.68,3.3,Fire HD 529Max Tablets tablet with productivity features and keyboard support. Story discover money speech senior decide discover room opportunity.
15,OnePlus 692X,Mobile Phones,dual SIM 5G phone with AMOLED screen and powerful chipset. Player condition table program pressure now perform from current.,1771.35,4.4,OnePlus 692X Mobile Phones dual SIM 5G phone with AMOLED screen and powerful chipset. Player condition table program pressure now perform from current.
16,Xiaomi 575Max,Mobile Phones,flagship phone with fast processor and ample storage. Success despite run necessary must idea task structure.,1012.92,4.7,Xiaomi 575Max Mobile Phones flagship phone with fast processor and ample storage. Success despite run necessary must idea task structure.
17,MacBook 710Plus,Laptops,ultra-thin laptop with SSD storage and long battery life. War one just tough pretty.,909.47,4.5,MacBook 710Plus Laptops ultra-thin laptop with SSD storage and long battery life. War one just tough pretty.
18,Fire HD 983Lite,Tablets,compact Android tablet with expandable storage. Each sea you raise likely conference.,246.6,3.3,Fire HD 983Lite Tablets compact Android tablet with expandable storage. Each sea you raise likely conference.
19,Sony WH 713Plus,Headphones,earbuds with spatial audio and water-resistant design. Food shoulder sign difference challenge campaign possible whom.,766.97,3.6,Sony WH 713Plus Headphones earbuds with spatial audio and water-resistant design. Food shoulder sign difference challenge campaign possible whom.
20,Galaxy Tab 487X,Tablets,tablet with productivity features and keyboard support. Effect plant music already model likely wait.,1811.73,3.7,Galaxy Tab 487X Tablets tablet with productivity features and keyboard support. Effect plant music already model likely wait.
21,Sony WH 188Pro,Headphones,wireless headphones with active noise cancellation and clear bass. Also probably indicate fish life term treat value.,790.15,4.6,Sony WH 188Pro Headphones wireless headphones with active noise cancellation and clear bass. Also probably indicate fish life term treat value.
22,Asus ZenBook 853Pro,Laptops,high-performance laptop for professionals with Intel i7 CPU. Customer read kind PM week compare.,1916.24,4.3,Asus ZenBook 853Pro Laptops high-performance laptop for professionals with Intel i7 CPU. Customer read kind PM week compare.
23,Pixel 529X,Mobile Phones,flagship phone with fast processor and ample storage. Then professor perhaps least over the government another program.,938.51,4.3,Pixel 529X Mobile Phones flagship phone with fast processor and ample storage. Then professor perhaps least over the government another program.
